Date,Year,Month,Day,Start of Quarter,Start of Month,End of Month,Day Name,Day of Week
2014-11-14,2014,11,14,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Fri,5
2014-11-15,2014,11,15,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sat,6
2014-11-16,2014,11,16,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sun,7
2014-11-17,2014,11,17,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Mon,1
2014-11-18,2014,11,18,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Tue,2
2014-11-19,2014,11,19,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Wed,3
2014-11-20,2014,11,20,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Thu,4
2014-11-21,2014,11,21,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Fri,5
2014-11-22,2014,11,22,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sat,6
2014-11-23,2014,11,23,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sun,7
2014-11-24,2014,11,24,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Mon,1
2014-11-25,2014,11,25,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Tue,2
2014-11-26,2014,11,26,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Wed,3
2014-11-27,2014,11,27,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Thu,4
2014-11-28,2014,11,28,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Fri,5
2014-11-29,2014,11,29,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sat,6
2014-11-30,2014,11,30,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sun,7
2014-12-02,2014,12,2,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Tue,2
2014-12-04,2014,12,4,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Thu,4
2014-12-05,2014,12,5,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Fri,5
2014-12-07,2014,12,7,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sun,7
2014-12-08,2014,12,8,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Mon,1
2014-12-09,2014,12,9,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Tue,2
2014-12-10,2014,12,10,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Wed,3
2014-12-11,2014,12,11,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Thu,4
2014-12-12,2014,12,12,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Fri,5
2014-12-13,2014,12,13,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sat,6
2014-12-14,2014,12,14,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sun,7
2014-12-15,2014,12,15,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Mon,1
2014-12-16,2014,12,16,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Tue,2
2014-12-17,2014,12,17,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Wed,3
2014-12-19,2014,12,19,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Fri,5
2014-12-20,2014,12,20,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sat,6
2014-12-21,2014,12,21,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sun,7
2014-12-22,2014,12,22,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Mon,1
2014-12-23,2014,12,23,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Tue,2
2014-12-24,2014,12,24,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Wed,3
2014-12-26,2014,12,26,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Fri,5
2014-12-27,2014,12,27,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sat,6
2014-12-28,2014,12,28,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Sun,7
2014-12-29,2014,12,29,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Mon,1
2014-12-30,2014,12,30,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Tue,2
2014-12-31,2014,12,31,10/1/2014 0:00,12/1/2014 0:00,12/31/2014 0:00,Wed,3
2015-01-03,2015,1,3,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sat,6
2015-01-05,2015,1,5,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Mon,1
2015-01-06,2015,1,6,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Tue,2
2015-01-08,2015,1,8,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Thu,4
2015-01-09,2015,1,9,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Fri,5
2015-01-10,2015,1,10,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sat,6
2015-01-11,2015,1,11,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sun,7
2015-01-12,2015,1,12,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Mon,1
2015-01-13,2015,1,13,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Tue,2
2015-01-17,2015,1,17,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sat,6
2015-01-19,2015,1,19,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Mon,1
2015-01-23,2015,1,23,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Fri,5
2015-01-24,2015,1,24,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sat,6
2015-01-26,2015,1,26,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Mon,1
2015-01-27,2015,1,27,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Tue,2
2015-01-28,2015,1,28,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Wed,3
2015-01-30,2015,1,30,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Fri,5
2015-01-31,2015,1,31,1/1/2015 0:00,1/1/2015 0:00,1/31/2015 0:00,Sat,6
2015-02-01,2015,2,1,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sun,7
2015-02-03,2015,2,3,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Tue,2
2015-02-04,2015,2,4,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Wed,3
2015-02-05,2015,2,5,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Thu,4
2015-02-07,2015,2,7,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sat,6
2015-02-08,2015,2,8,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sun,7
2015-02-10,2015,2,10,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Tue,2
2015-02-11,2015,2,11,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Wed,3
2015-02-14,2015,2,14,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sat,6
2015-02-15,2015,2,15,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sun,7
2015-02-16,2015,2,16,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Mon,1
2015-02-18,2015,2,18,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Wed,3
2015-02-20,2015,2,20,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Fri,5
2015-02-21,2015,2,21,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sat,6
2015-02-22,2015,2,22,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sun,7
2015-02-23,2015,2,23,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Mon,1
2015-02-25,2015,2,25,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Wed,3
2015-02-27,2015,2,27,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Fri,5
2015-02-28,2015,2,28,1/1/2015 0:00,2/1/2015 0:00,2/28/2015 0:00,Sat,6
2015-03-01,2015,3,1,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sun,7
2015-03-02,2015,3,2,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Mon,1
2015-03-05,2015,3,5,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Thu,4
2015-03-07,2015,3,7,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sat,6
2015-03-09,2015,3,9,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Mon,1
2015-03-10,2015,3,10,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Tue,2
2015-03-11,2015,3,11,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Wed,3
2015-03-12,2015,3,12,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Thu,4
2015-03-13,2015,3,13,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Fri,5
2015-03-14,2015,3,14,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sat,6
2015-03-15,2015,3,15,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sun,7
2015-03-16,2015,3,16,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Mon,1
2015-03-17,2015,3,17,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Tue,2
2015-03-19,2015,3,19,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Thu,4
2015-03-20,2015,3,20,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Fri,5
2015-03-21,2015,3,21,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sat,6
2015-03-22,2015,3,22,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sun,7
2015-03-23,2015,3,23,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Mon,1
2015-03-24,2015,3,24,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Tue,2
2015-03-26,2015,3,26,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Thu,4
2015-03-27,2015,3,27,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Fri,5
2015-03-28,2015,3,28,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sat,6
2015-03-29,2015,3,29,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Sun,7
2015-03-30,2015,3,30,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Mon,1
2015-03-31,2015,3,31,1/1/2015 0:00,3/1/2015 0:00,3/31/2015 0:00,Tue,2
2015-04-01,2015,4,1,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Wed,3
2015-04-04,2015,4,4,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sat,6
2015-04-05,2015,4,5,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sun,7
2015-04-06,2015,4,6,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Mon,1
2015-04-07,2015,4,7,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Tue,2
2015-04-09,2015,4,9,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Thu,4
2015-04-10,2015,4,10,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Fri,5
2015-04-12,2015,4,12,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sun,7
2015-04-13,2015,4,13,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Mon,1
2015-04-14,2015,4,14,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Tue,2
2015-04-16,2015,4,16,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Thu,4
2015-04-17,2015,4,17,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Fri,5
2015-04-18,2015,4,18,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sat,6
2015-04-19,2015,4,19,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sun,7
2015-04-20,2015,4,20,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Mon,1
2015-04-21,2015,4,21,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Tue,2
2015-04-22,2015,4,22,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Wed,3
2015-04-24,2015,4,24,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Fri,5
2015-04-25,2015,4,25,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sat,6
2015-04-26,2015,4,26,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Sun,7
2015-04-27,2015,4,27,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Mon,1
2015-04-28,2015,4,28,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Tue,2
2015-04-29,2015,4,29,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Wed,3
2015-04-30,2015,4,30,4/1/2015 0:00,4/1/2015 0:00,4/30/2015 0:00,Thu,4
2015-05-01,2015,5,1,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Fri,5
2015-05-03,2015,5,3,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sun,7
2015-05-04,2015,5,4,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Mon,1
2015-05-06,2015,5,6,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Wed,3
2015-05-07,2015,5,7,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Thu,4
2015-05-08,2015,5,8,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Fri,5
2015-05-09,2015,5,9,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sat,6
2015-05-10,2015,5,10,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sun,7
2015-05-11,2015,5,11,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Mon,1
2015-05-12,2015,5,12,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Tue,2
2015-05-13,2015,5,13,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Wed,3
2015-05-14,2015,5,14,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Thu,4
2015-05-15,2015,5,15,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Fri,5
2015-05-16,2015,5,16,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sat,6
2015-05-17,2015,5,17,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sun,7
2015-05-18,2015,5,18,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Mon,1
2015-05-20,2015,5,20,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Wed,3
2015-05-21,2015,5,21,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Thu,4
2015-05-22,2015,5,22,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Fri,5
2015-05-23,2015,5,23,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sat,6
2015-05-24,2015,5,24,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sun,7
2015-05-25,2015,5,25,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Mon,1
2015-05-26,2015,5,26,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Tue,2
2015-05-28,2015,5,28,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Thu,4
2015-05-29,2015,5,29,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Fri,5
2015-05-30,2015,5,30,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sat,6
2015-05-31,2015,5,31,4/1/2015 0:00,5/1/2015 0:00,5/31/2015 0:00,Sun,7
2015-06-01,2015,6,1,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Mon,1
2015-06-02,2015,6,2,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Tue,2
2015-06-03,2015,6,3,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Wed,3
2015-06-04,2015,6,4,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Thu,4
2015-06-07,2015,6,7,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sun,7
2015-06-08,2015,6,8,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Mon,1
2015-06-09,2015,6,9,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Tue,2
2015-06-11,2015,6,11,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Thu,4
2015-06-12,2015,6,12,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Fri,5
2015-06-13,2015,6,13,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sat,6
2015-06-14,2015,6,14,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sun,7
2015-06-15,2015,6,15,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Mon,1
2015-06-16,2015,6,16,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Tue,2
2015-06-18,2015,6,18,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Thu,4
2015-06-19,2015,6,19,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Fri,5
2015-06-20,2015,6,20,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sat,6
2015-06-21,2015,6,21,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sun,7
2015-06-22,2015,6,22,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Mon,1
2015-06-23,2015,6,23,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Tue,2
2015-06-25,2015,6,25,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Thu,4
2015-06-26,2015,6,26,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Fri,5
2015-06-28,2015,6,28,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Sun,7
2015-06-29,2015,6,29,4/1/2015 0:00,6/1/2015 0:00,6/30/2015 0:00,Mon,1
2015-07-02,2015,7,2,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Thu,4
2015-07-03,2015,7,3,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Fri,5
2015-07-04,2015,7,4,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sat,6
2015-07-05,2015,7,5,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sun,7
2015-07-06,2015,7,6,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Mon,1
2015-07-08,2015,7,8,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Wed,3
2015-07-09,2015,7,9,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Thu,4
2015-07-11,2015,7,11,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sat,6
2015-07-12,2015,7,12,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sun,7
2015-07-13,2015,7,13,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Mon,1
2015-07-14,2015,7,14,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Tue,2
2015-07-16,2015,7,16,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Thu,4
2015-07-17,2015,7,17,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Fri,5
2015-07-18,2015,7,18,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sat,6
2015-07-19,2015,7,19,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sun,7
2015-07-20,2015,7,20,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Mon,1
2015-07-23,2015,7,23,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Thu,4
2015-07-24,2015,7,24,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Fri,5
2015-07-25,2015,7,25,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sat,6
2015-07-26,2015,7,26,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Sun,7
2015-07-27,2015,7,27,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Mon,1
2015-07-30,2015,7,30,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Thu,4
2015-07-31,2015,7,31,7/1/2015 0:00,7/1/2015 0:00,7/31/2015 0:00,Fri,5
2015-08-02,2015,8,2,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sun,7
2015-08-03,2015,8,3,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Mon,1
2015-08-05,2015,8,5,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Wed,3
2015-08-06,2015,8,6,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Thu,4
2015-08-07,2015,8,7,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Fri,5
2015-08-08,2015,8,8,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sat,6
2015-08-09,2015,8,9,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sun,7
2015-08-10,2015,8,10,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Mon,1
2015-08-11,2015,8,11,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Tue,2
2015-08-12,2015,8,12,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Wed,3
2015-08-13,2015,8,13,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Thu,4
2015-08-15,2015,8,15,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sat,6
2015-08-16,2015,8,16,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sun,7
2015-08-17,2015,8,17,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Mon,1
2015-08-21,2015,8,21,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Fri,5
2015-08-22,2015,8,22,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sat,6
2015-08-23,2015,8,23,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sun,7
2015-08-24,2015,8,24,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Mon,1
2015-08-25,2015,8,25,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Tue,2
2015-08-27,2015,8,27,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Thu,4
2015-08-28,2015,8,28,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Fri,5
2015-08-29,2015,8,29,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Sat,6
2015-08-31,2015,8,31,7/1/2015 0:00,8/1/2015 0:00,8/31/2015 0:00,Mon,1
2015-09-01,2015,9,1,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Tue,2
2015-09-02,2015,9,2,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Wed,3
2015-09-03,2015,9,3,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Thu,4
2015-09-04,2015,9,4,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Fri,5
2015-09-05,2015,9,5,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sat,6
2015-09-06,2015,9,6,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sun,7
2015-09-07,2015,9,7,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Mon,1
2015-09-08,2015,9,8,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Tue,2
2015-09-10,2015,9,10,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Thu,4
2015-09-11,2015,9,11,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Fri,5
2015-09-12,2015,9,12,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sat,6
2015-09-13,2015,9,13,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sun,7
2015-09-14,2015,9,14,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Mon,1
2015-09-15,2015,9,15,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Tue,2
2015-09-16,2015,9,16,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Wed,3
2015-09-17,2015,9,17,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Thu,4
2015-09-18,2015,9,18,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Fri,5
2015-09-19,2015,9,19,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sat,6
2015-09-20,2015,9,20,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sun,7
2015-09-21,2015,9,21,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Mon,1
2015-09-22,2015,9,22,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Tue,2
2015-09-24,2015,9,24,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Thu,4
2015-09-25,2015,9,25,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Fri,5
2015-09-26,2015,9,26,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sat,6
2015-09-27,2015,9,27,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Sun,7
2015-09-28,2015,9,28,7/1/2015 0:00,9/1/2015 0:00,9/30/2015 0:00,Mon,1
2015-10-01,2015,10,1,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Thu,4
2015-10-02,2015,10,2,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Fri,5
2015-10-03,2015,10,3,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Sat,6
2015-10-04,2015,10,4,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Sun,7
2015-10-05,2015,10,5,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Mon,1
2015-10-07,2015,10,7,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Wed,3
2015-10-08,2015,10,8,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Thu,4
2015-10-09,2015,10,9,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Fri,5
2015-10-10,2015,10,10,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Sat,6
2015-10-11,2015,10,11,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Sun,7
2015-10-12,2015,10,12,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Mon,1
2015-10-13,2015,10,13,10/1/2015 0:00,10/1/2015 0:00,10/31/2015 0:00,Tue,2
